Aruba,106965
Afghanistan,39307198
Angola,33304302
Albania,2876410
Andorra,77319
United Arab Emirates,9942556
Argentina,45373860
Australia,47329981
Austria,9028764
Azerbaijan,10179174
Burundi,12042719
Belgium,11589623
Benin,12259922
Burkina Faso,21149767
Bangladesh,165406860
Bulgaria,6925234
Bahrain,1726822
Bahamas,394888
Bosnia and Herzegovina,3271773
Belarus,9447952
Belize,400760
Bermuda,62176
Bolivia,11742415
Brazil*Acre,894470
Brazil*Alagoas,3351453
Brazil*Amazonas,4207714
Brazil*Amapa,861773
Brazil*Bahia,14930634
Brazil*Ceara,9187103
Brazil*Distrito Federal,3055149
Brazil*Espirito Santo,4064052
Brazil*Goias,7113540
Brazil*Maranhao,7114598
Brazil*Minas Gerais,21292666
Brazil*Mato Grosso do Sul,2809394
Brazil*Mato Grosso,3526220
Brazil*Para,8690745
Brazil*Paraiba,4039277
Brazil*Pernambuco,9616621
Brazil*Piaui,3281480
Brazil*Parana,11516840
Brazil*Rio de Janeiro,17366189
Brazil*Rio Grande do Norte,3534165
Brazil*Rondonia,1796460
Brazil*Roraima,631181
Brazil*Rio Grande do Sul,11422973
Brazil*Santa Catarina,7252502
Brazil*Sergipe,2318822
Brazil*Sao Paulo,46289333
Brazil*Tocantins,1590248
Barbados,287530
Brunei,439311
Bhutan,775320
Botswana,2372192
Central African Republic,4866235
Canada,37887014
Switzerland,8682364
Chile,19188045
China,1441767293
Cote d'Ivoire,26659921
Cameroon,26830744
Democratic Republic of Congo,90728835
Congo,5576659
Colombia,51119899
Comoros,877615
Cape Verde,558625
Costa Rica,5114474
Cuba,11323565
Cyprus,1211212
Czech Republic,10717730
Germany,83783942
Djibouti,994256
Dominica,72065
Denmark,5792202
Dominican Republic,10895476
Algeria,44194702
Ecuador,17759643
Egypt,103171433
Eritrea,3567808
Spain,47329981
Estonia,1326928
Ethiopia,116191430
Finland,5544511
Fiji,899292
France,65333951
Faeroe Islands,48945
Gabon,2248405
United Kingdom*England,56286961
United Kingdom*Northern Ireland,1893667
United Kingdom*Scotland,5463300
United Kingdom*Wales,3152879
Georgia,3985784
Ghana,31353676
Guinea,13286031
Gambia,2445845
Greece,10400509
Greenland,56813
Guatemala,18059338
Guam,169423
Guyana,788219
Hong Kong,7523622
Honduras,9973115
Croatia,4094045
Haiti,11463188
Hungary,9649509
Indonesia,274787687
India,1385826873
Ireland,4961879
Iran,84461844
Iraq,40612561
Iceland,342214
Israel,8714417
Italy,60461826
Jamaica,2966847
Jordan,10247428
Japan,126308421
Kazakhstan,18874741
Kenya,54283372
Kyrgyz Republic,6570980
Cambodia,16819786
South Korea,51288272
Kuwait,4298066
Laos,7321534
Lebanon,6811914
Liberia,5109001
Libya,6912015
Sri Lanka,21452710
Lesotho,2149689
Lithuania,2705350
Luxembourg,630405
Latvia,1876919
Macao,653193
Morocco,37101541
Monaco,39364
Moldova,4029820
Madagascar,27997677
Mexico,129524815
Mali,20501322
Myanmar,54569764
Mongolia,3301245
Mozambique,31631785
Mauritania,4702276
Mauritius,1272698
Malawi,19342867
Malaysia,32546893
Namibia,2560875
Niger,24580115
Nigeria,208342516
Nicaragua,6658958
Netherlands,17151563
Norway,5421241
Nepal,29364264
New Zealand,4839388
Oman,5162588
Pakistan,222751400
Panama,4344310
Peru,33171970
Philippines,110216905
Papua New Guinea,9020516
Poland,37828537
Puerto Rico,2827337
Portugal,10183564
Paraguay,7170769
Palestine,5152623
Qatar,2902192
Kosovo,1811388
Romania,19180782
Russia,145962052
Rwanda,13090653
Saudi Arabia,35049731
Sudan,44291320
Senegal,16933881
Singapore,5870500
Solomon Islands,694149
Sierra Leone,8047232
El Salvador,6500579
San Marino,33962
Somalia,16083815
Serbia,8721797
South Sudan,11251021
Suriname,588933
Slovak Republic,5460808
Slovenia,2079064
Sweden,10125863
Eswatini,1165415
Seychelles,98614
Syria,17684051
Chad,16628301
Tonga,106235
Togo,8362495
Thailand,69877067
Tajikistan,9630222
Turkmenistan,6069798
Timor-Leste,1329333
Trinidad and Tobago,1401481
Tunisia,11872672
Turkey,84735628
Taiwan,23835759
Tanzania,60465128
Uganda,46359623
Ukraine,43167310
Uruguay,3479024
United States*Alaska,731545
United States*Alabama,4903185
United States*Arkansas,3017804
United States*Arizona,7278717
United States*California,39512223
United States*Colorado,5758736
United States*Connecticut,3565287
United States*Washington DC,705749
United States*Delaware,973764
United States*Florida,21477737
United States*Georgia,10617423
United States*Hawaii,1415872
United States*Iowa,3155070
United States*Idaho,1787065
United States*Illinois,12671821
United States*Indiana,6732219
United States*Kansas,2913314
United States*Kentucky,4467673
United States*Louisiana,4648794
United States*Massachusetts,6892503
United States*Maryland,6045680
United States*Maine,1344212
United States*Michigan,9986857
United States*Minnesota,5639632
United States*Missouri,6137428
United States*Mississippi,2976149
United States*Montana,1068778
United States*North Carolina,10488084
United States*North Dakota,762062
United States*Nebraska,1934408
United States*New Hampshire,1359711
United States*New Jersey,8882190
United States*New Mexico,2096829
United States*Nevada,3080156
United States*New York,19453561
United States*Ohio,11689100
United States*Oklahoma,3956971
United States*Oregon,4217737
United States*Pennsylvania,12801989
United States*Rhode Island,1059361
United States*South Carolina,5148714
United States*South Dakota,884659
United States*Tennessee,6829174
United States*Texas,28995881
United States*Utah,3205958
United States*Virginia,8535519
United States*Virgin Islands,106235
United States*Vermont,623989
United States*Washington,7614893
United States*Wisconsin,5822434
United States*West Virginia,1792147
United States*Wyoming,578759
Uzbekistan,33680430
Venezuela,28400321
United States Virgin Islands,104357
Vietnam,97721890
Vanuatu,310244
Yemen,30109966
South Africa,59634888
Zambia,18605236
Zimbabwe,14957137
